,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Season
0,1,Manchester City,37,27,7,3,93,33,60,88,2.38,78.6,35.2,43.4,1.17,52896,Erling Haaland - 27,2024
1,2,Arsenal,37,27,5,5,89,28,61,86,2.32,73.2,27.3,45.9,1.24,60232,Bukayo Saka - 16,2024
2,3,Liverpool,37,23,10,4,84,41,43,79,2.14,83.3,45.3,38.0,1.03,55753,Mohamed Salah - 18,2024
3,4,Aston Villa,37,20,8,9,76,56,20,68,1.84,62.5,57.4,5.1,0.14,41858,Ollie Watkins - 19,2024
4,5,Tottenham,37,19,6,12,71,61,10,63,1.7,65.1,62.4,2.6,0.07,61482,Son Heung-min - 17,2024
5,6,Chelsea,37,17,9,11,75,62,13,60,1.62,73.3,55.7,17.6,0.47,39513,Cole Palmer - 22,2024
6,7,Newcastle Utd,37,17,6,14,81,60,21,57,1.54,72.8,60.2,12.5,0.34,52125,Alexander Isak - 20,2024
7,8,Manchester Utd,37,17,6,14,55,58,-3,57,1.54,55.1,67.3,-12.2,-0.33,69660,Bruno Fernandes - 10,2024
8,9,West Ham,37,14,10,13,59,71,-12,52,1.41,52.0,69.2,-17.2,-0.47,62567,Jarrod Bowen - 16,2024
9,10,Brighton,37,12,12,13,55,60,-5,48,1.3,54.9,54.1,0.9,0.02,32693,João Pedro - 9,2024
10,11,Bournemouth,37,13,9,15,53,65,-12,48,1.3,53.7,57.0,-3.2,-0.09,11103,Dominic Solanke - 19,2024
11,12,Crystal Palace,37,12,10,15,52,58,-6,46,1.24,46.0,51.1,-5.1,-0.14,24918,Jean-Philippe Mateta - 13,2024
12,13,Wolves,37,13,7,17,50,63,-13,46,1.24,46.2,63.2,-17.0,-0.46,31029,"Hwang Hee-chan, Matheus Cunha - 12",2024
13,14,Fulham,37,12,8,17,51,59,-8,44,1.19,49.7,60.9,-11.2,-0.3,24302,Rodrigo Muniz - 9,2024
14,15,Everton,37,13,9,15,39,49,-10,42,1.14,53.4,52.3,1.1,0.03,39042,"Abdoulaye Doucouré, Dominic Calvert-Lewin - 7",2024
15,16,Brentford,37,10,9,18,54,61,-7,39,1.05,57.1,52.6,4.5,0.12,17080,Yoane Wissa - 11,2024
16,17,Nott'ham Forest,37,8,9,20,47,66,-19,29,0.78,48.3,52.0,-3.7,-0.1,29386,Chris Wood - 12,2024
17,18,Luton Town,37,6,8,23,50,81,-31,26,0.7,40.4,76.9,-36.5,-0.99,11196,"Carlton Morris, Elijah Adebayo - 10",2024
18,19,Burnley,37,5,9,23,40,76,-36,24,0.65,39.4,68.7,-29.2,-0.79,21188,Jacob Bruun Larsen - 6,2024
19,20,Sheffield Utd,37,3,7,27,35,101,-66,16,0.43,37.3,73.5,-36.3,-0.98,30061,"Oliver McBurnie, Ben Brereton - 6",2024
20,1,Manchester City,38,28,5,5,94,33,61,89,2.34,78.6,32.1,46.5,1.22,53249,Erling Haaland - 36,2023
21,2,Arsenal,38,26,6,6,88,43,45,84,2.21,71.9,42.0,29.9,0.79,60191,"Martin Ødegaard, Gabriel Martinelli - 15",2023
22,3,Manchester Utd,38,23,6,9,58,43,15,75,1.97,67.7,50.4,17.3,0.45,73671,Marcus Rashford - 17,2023
23,4,Newcastle Utd,38,19,14,5,68,33,35,71,1.87,72.0,39.6,32.4,0.85,52127,Callum Wilson - 18,2023
24,5,Liverpool,38,19,10,9,75,47,28,67,1.76,72.6,50.9,21.7,0.57,53163,Mohamed Salah - 19,2023
25,6,Brighton,38,18,8,12,72,53,19,62,1.63,73.3,50.2,23.1,0.61,31477,Alexis Mac Allister - 10,2023
26,7,Aston Villa,38,18,7,13,51,46,5,61,1.61,50.2,52.5,-2.2,-0.06,39485,Ollie Watkins - 15,2023
27,8,Tottenham,38,18,6,14,70,63,7,60,1.58,57.0,49.6,7.4,0.2,61585,Harry Kane - 30,2023
28,9,Brentford,38,15,14,9,58,46,12,59,1.55,56.7,49.9,6.8,0.18,17078,Ivan Toney - 20,2023
29,10,Fulham,38,15,7,16,55,53,2,52,1.37,46.2,63.8,-17.6,-0.46,23746,Aleksandar Mitrović - 14,2023
30,11,Crystal Palace,38,11,12,15,40,49,-9,45,1.18,39.3,48.1,-8.8,-0.23,24952,Eberechi Eze - 10,2023
