,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,opp formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
9,2024-10-26,15:00,Premier League,Matchweek 9,Sat,Away,L,3,4,Brentford,1.3,4.0,35.0,17109.0,Conor Chaplin,4-2-3-1,4-2-3-1,Lewis Smith,Match Report,,11,5,17.4,0.0,0,0,2025,IpswichTown
10,2024-11-02,15:00,Premier League,Matchweek 10,Sat,Home,D,1,1,Leicester City,1.0,1.5,43.0,29874.0,Sam Morsy,4-2-3-1,4-2-3-1,Tim Robinson,Match Report,,14,2,16.9,1.0,0,0,2025,IpswichTown
0,2024-08-17,15:00,Premier League,Matchweek 1,Sat,Away,L,0,1,Newcastle Utd,1.8,0.3,77.0,52196.0,Jack Stephens,3-5-2,4-3-3,Craig Pawson,Match Report,,19,3,17.0,1.0,0,0,2025,Southampton
1,2024-08-24,15:00,Premier League,Matchweek 2,Sat,Home,L,0,1,Nott'ham Forest,0.1,2.2,64.0,31150.0,Jack Stephens,3-5-2,4-2-3-1,Samuel Barrott,Match Report,,5,1,19.7,0.0,0,0,2025,Southampton
3,2024-08-31,15:00,Premier League,Matchweek 3,Sat,Away,L,1,3,Brentford,1.5,2.8,63.0,16955.0,Jack Stephens,3-5-2,4-3-3,Joshua Smith,Match Report,,18,6,18.1,1.0,0,0,2025,Southampton
4,2024-09-14,12:30,Premier League,Matchweek 4,Sat,Home,L,0,3,Manchester Utd,1.1,2.6,44.0,31144.0,Jack Stephens,4-2-3-1,4-2-3-1,Stuart Attwell,Match Report,,5,2,17.4,0.0,0,1,2025,Southampton
6,2024-09-21,15:00,Premier League,Matchweek 5,Sat,Home,D,1,1,Ipswich Town,2.4,1.6,53.0,31117.0,Flynn Downes,4-2-3-1,4-2-3-1,Samuel Allison,Match Report,,11,3,13.7,0.0,0,0,2025,Southampton
7,2024-09-30,20:00,Premier League,Matchweek 6,Mon,Away,L,1,3,Bournemouth,0.6,1.3,60.0,11243.0,Flynn Downes,4-2-3-1,4-2-3-1,Michael Oliver,Match Report,,9,3,18.4,0.0,0,0,2025,Southampton
8,2024-10-05,15:00,Premier League,Matchweek 7,Sat,Away,L,1,3,Arsenal,0.6,2.8,41.0,60307.0,Flynn Downes,5-4-1,4-4-2,Tony Harrington,Match Report,,8,2,16.4,0.0,0,0,2025,Southampton
9,2024-10-19,15:00,Premier League,Matchweek 8,Sat,Home,L,2,3,Leicester City,2.1,3.1,42.0,31145.0,Flynn Downes,4-5-1,4-2-3-1,Anthony Taylor,Match Report,,14,7,9.6,0.0,0,0,2025,Southampton
10,2024-10-26,15:00,Premier League,Matchweek 9,Sat,Away,L,0,1,Manchester City,0.2,2.9,43.0,52844.0,Jack Stephens,5-4-1,4-1-4-1,Tony Harrington,Match Report,,5,2,13.8,0.0,0,0,2025,Southampton
12,2024-11-02,15:00,Premier League,Matchweek 10,Sat,Home,W,1,0,Everton,0.7,1.6,65.0,31143.0,Jack Stephens,5-4-1,4-2-3-1,Andy Madley,Match Report,,9,2,13.4,0.0,0,0,2025,Southampton
0,2024-08-17,15:00,Premier League,Matchweek 1,Sat,Away,L,0.0,2.0,Arsenal,0.5,1.2,47.0,60261.0,Mario Lemina,4-2-3-1,4-3-3,Jarred Gillett,Match Report,,9,3,19.3,1.0,0,0,2025,WolverhamptonWanderers
1,2024-08-25,14:00,Premier League,Matchweek 2,Sun,Home,L,2.0,6.0,Chelsea,1.9,1.6,40.0,31235.0,Mario Lemina,4-2-3-1,4-2-3-1,Darren England,Match Report,,12,4,19.1,1.0,0,0,2025,WolverhamptonWanderers
3,2024-08-31,15:00,Premier League,Matchweek 3,Sat,Away,D,1.0,1.0,Nott'ham Forest,0.7,1.0,48.0,29918.0,Mario Lemina,4-4-1-1,4-2-3-1,Simon Hooper,Match Report,,11,2,20.7,0.0,0,0,2025,WolverhamptonWanderers
4,2024-09-15,16:30,Premier League,Matchweek 4,Sun,Home,L,1.0,2.0,Newcastle Utd,1.2,1.5,49.0,30255.0,Mario Lemina,4-4-1-1,4-3-3,Chris Kavanagh,Match Report,,12,5,15.2,0.0,0,0,2025,WolverhamptonWanderers
6,2024-09-21,15:00,Premier League,Matchweek 5,Sat,Away,L,1.0,3.0,Aston Villa,0.5,1.7,47.0,39978.0,Mario Lemina,4-1-4-1,4-2-3-1,Tim Robinson,Match Report,,10,4,14.9,0.0,0,0,2025,WolverhamptonWanderers
7,2024-09-28,17:30,Premier League,Matchweek 6,Sat,Home,L,1.0,2.0,Liverpool,0.6,2.5,45.0,31413.0,Mario Lemina,4-1-4-1,4-2-3-1,Anthony Taylor,Match Report,,8,3,22.9,0.0,0,0,2025,WolverhamptonWanderers
8,2024-10-05,15:00,Premier League,Matchweek 7,Sat,Away,L,3.0,5.0,Brentford,1.0,4.2,56.0,16960.0,Mario Lemina,4-1-4-1,4-2-3-1,Andy Madley,Match Report,,17,6,20.9,0.0,0,0,2025,WolverhamptonWanderers
9,2024-10-20,14:00,Premier League,Matchweek 8,Sun,Home,L,1.0,2.0,Manchester City,0.8,1.6,23.0,31319.0,Mario Lemina,3-5-2,4-1-4-1,Chris Kavanagh,Match Report,,3,2,17.6,0.0,0,0,2025,WolverhamptonWanderers
10,2024-10-26,15:00,Premier League,Matchweek 9,Sat,Away,D,2.0,2.0,Brighton,1.3,1.3,49.0,31840.0,Mario Lemina,3-4-3,4-4-2,Michael Oliver,Match Report,,14,7,11.9,0.0,0,0,2025,WolverhamptonWanderers
11,2024-11-02,17:30,Premier League,Matchweek 10,Sat,Home,D,2.0,2.0,Crystal Palace,1.5,2.4,57.0,31124.0,Nélson Semedo,3-4-3,3-4-3,Anthony Taylor,Match Report,,11,6,17.6,0.0,0,0,2025,WolverhamptonWanderers
