,Player,Nation,Position,Age,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,Blocks,ShotsBlocked,PassesBlocked,Intercptions,Tkl+Int,Clearances,Errors
161,Kamil Piątkowski,pl POL,DF,23-323,3.9,3.59,2.05,3.08,0.26,0.26,0.77,0.77,0.00,1.54,5.13,5.38,0.00
162,Jesús Vallejo,es ESP,DF,27-125,1.2,2.50,0.83,0.83,1.67,0.00,2.50,1.67,0.83,0.00,2.50,0.83,0.83
163,Adri Bosch,es ESP,DF,22-335,0.3,3.33,3.33,3.33,0.00,0.00,0.00,0.00,0.00,0.00,3.33,3.33,0.00
164,Juan Brandáriz,es ESP,DF,25-068,23.0,1.39,0.91,0.87,0.52,0.0,1.39,0.91,0.48,0.57,1.96,3.78,0.0
165,Sergio Akieme,es ESP,DF,26-145,18.6,1.45,0.81,0.97,0.38,0.11,0.75,0.22,0.54,0.54,1.99,1.83,0.0
166,Pubill,es ESP,DF,20-324,18.2,2.42,1.15,1.76,0.44,0.22,1.04,0.38,0.66,0.71,3.13,4.01,0.05
167,César Montes,mx MEX,DF,27-075,17.9,1.06,0.61,0.61,0.45,0.0,1.01,0.39,0.61,0.61,1.68,4.64,0.0
168,Álex Centelles,es ESP,DF,26-183,8.9,1.24,0.67,1.01,0.22,0.0,0.56,0.22,0.34,1.69,2.92,3.26,0.0
169,Aleksandar Radovanović,rs SRB,DF,30-180,5.5,1.09,0.91,1.09,0.0,0.0,1.45,1.45,0.0,1.82,2.91,7.82,0.0
170,Bruno Langa,mz MOZ,DF,26-191,6.1,1.48,0.98,0.82,0.49,0.16,1.31,0.49,0.82,0.49,1.97,3.77,0.16
171,Kaiky,br BRA,DF,20-118,5.8,1.21,0.69,1.03,0.0,0.17,1.55,1.21,0.34,0.52,1.72,5.0,0.17
172,Houboulang Mendes,gw GNB,DF,26-005,4.4,3.64,2.95,2.5,1.14,0.0,0.91,0.45,0.45,0.23,3.86,3.86,0.23
173,Srđan Babić,rs SRB,DF,28-017,1.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0
