,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err
41,Fabian Schär,ch SUI,DF,32-139,32.6,41.0,24,27.0,13.0,1.0,48.0,36.0,12.0,36,77.0,129.0,1.0
42,Dan Burn,eng ENG,DF,31-364,27.3,57.0,30,35.0,19.0,3.0,49.0,20.0,29.0,36,93.0,112.0,1.0
43,Kieran Trippier,eng ENG,DF,33-231,24.0,57.0,27,30.0,16.0,11.0,38.0,8.0,30.0,23,80.0,55.0,3.0
44,Sven Botman,nl NED,DF,24-116,15.3,20.0,13,14.0,6.0,0.0,20.0,16.0,4.0,9,29.0,61.0,3.0
45,Jamaal Lascelles,eng ENG,DF,30-178,12.0,14.0,9,7.0,7.0,0.0,17.0,12.0,5.0,5,19.0,42.0,0.0
46,Valentino Livramento,eng ENG,DF,21-177,13.6,23.0,13,15.0,6.0,2.0,15.0,6.0,9.0,23,46.0,37.0,1.0
47,Emil Krafth,se SWE,DF,29-279,7.1,20.0,14,9.0,7.0,4.0,7.0,2.0,5.0,7,27.0,13.0,0.0
48,Lewis Hall,eng ENG,DF,19-242,5.7,23.0,14,15.0,8.0,0.0,13.0,0.0,13.0,8,31.0,14.0,0.0
49,Matt Targett,eng ENG,DF,28-232,0.9,2.0,0,1.0,1.0,0.0,1.0,0.0,1.0,0,2.0,2.0,0.0
50,Paul Dummett,wls WAL,DF,32-224,0.2,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0
51,Axel Disasi,fr FRA,DF,26-057,28.7,33.0,19,20.0,10.0,3.0,26.0,19.0,7.0,18,51.0,102.0,2.0
52,Thiago Silva,br BRA,DF,39-228,26.1,29.0,15,22.0,6.0,1.0,31.0,22.0,9.0,25,54.0,133.0,4.0
53,Levi Colwill,eng ENG,DF,21-071,20.0,48.0,30,26.0,17.0,5.0,28.0,10.0,18.0,26,74.0,66.0,0.0
54,Malo Gusto,fr FRA,DF,20-354,18.0,51.0,25,31.0,14.0,6.0,28.0,4.0,24.0,16,67.0,40.0,1.0
55,Marc Cucurella,es ESP,DF,25-290,16.8,53.0,33,29.0,19.0,5.0,34.0,13.0,21.0,19,72.0,38.0,0.0
56,Benoît Badiashile,fr FRA,DF,23-042,12.2,19.0,14,12.0,7.0,0.0,19.0,13.0,6.0,18,37.0,53.0,2.0
57,Ben Chilwell,eng ENG,DF,27-138,8.4,15.0,10,5.0,9.0,1.0,11.0,3.0,8.0,4,19.0,19.0,1.0
58,Trevoh Chalobah,eng ENG,DF,24-307,7.6,10.0,7,5.0,1.0,4.0,5.0,5.0,0.0,6,16.0,33.0,0.0
59,Reece James,eng ENG,DF,24-151,4.3,13.0,8,10.0,2.0,1.0,4.0,4.0,0.0,3,16.0,7.0,1.0
60,Alfie Gilchrist,eng ENG,DF,20-161,2.3,4.0,0,4.0,0.0,0.0,6.0,3.0,3.0,3,7.0,11.0,0.0
61,Joshua Acheampong,eng ENG,DF,18-002,0.1,,0,,,,,,,0,,,
62,Diogo Dalot,pt POR,DF,25-050,32.3,72.0,44,51.0,11.0,10.0,43.0,15.0,28.0,35,107.0,98.0,0.0
