,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err
40,Jack Grealish,eng ENG,"FW,MF",28-240,11.2,13.0,8,6.0,7.0,0.0,13.0,2.0,11.0,6,19.0,5.0,0.0
41,Rico Lewis,eng ENG,"DF,MF",19-168,8.9,10.0,7,4.0,4.0,2.0,7.0,1.0,6.0,4,14.0,6.0,0.0
42,Matheus Nunes,pt POR,MF,25-254,7.3,10.0,4,1.0,7.0,2.0,7.0,1.0,6.0,1,11.0,8.0,1.0
43,Stefan Ortega,de GER,GK,31-183,5.8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0
44,Oscar Bobb,no NOR,"FW,MF",20-300,3.3,7.0,3,1.0,2.0,4.0,4.0,0.0,4.0,4,11.0,1.0,0.0
45,Kalvin Phillips,eng ENG,MF,28-157,1.0,3.0,3,1.0,1.0,1.0,0.0,0.0,0.0,2,5.0,2.0,0.0
46,Sergio Gómez,es ESP,"FW,MF",23-246,0.6,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1,2.0,0.0,0.0
47,Aymeric Laporte,es ESP,DF,29-346,0.1,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,1.0,0.0
48,Cole Palmer,eng ENG,MF,22-001,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
49,James Mcatee,eng ENG,MF,21-202,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0
50,Virgil van Dijk,nl NED,DF,32-304,33.3,39.0,22,23.0,13.0,3.0,43.0,31.0,12.0,36,75.0,137.0,0.0
51,Luis Díaz,co COL,FW,27-115,27.6,31.0,22,5.0,15.0,11.0,15.0,0.0,15.0,3,34.0,8.0,0.0
52,Alexis Mac Allister,ar ARG,MF,25-135,27.1,94.0,51,33.0,47.0,14.0,63.0,7.0,56.0,34,128.0,23.0,0.0
53,Mohamed Salah,eg EGY,FW,31-327,26.2,14.0,9,1.0,5.0,8.0,18.0,1.0,17.0,2,16.0,1.0,0.0
54,Alisson,br BRA,GK,31-218,26.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.0,3.0
55,Dominik Szoboszlai,hu HUN,MF,23-195,23.1,32.0,19,12.0,12.0,8.0,37.0,2.0,35.0,15,47.0,16.0,1.0
56,Trent Alexander-Arnold,eng ENG,DF,25-213,22.2,35.0,23,23.0,11.0,1.0,20.0,2.0,18.0,28,63.0,46.0,4.0
57,Darwin Núñez,uy URU,FW,24-318,22.3,21.0,12,2.0,10.0,9.0,17.0,6.0,11.0,3,24.0,9.0,0.0
58,Wataru Endo,jp JPN,MF,31-088,17.3,41.0,24,7.0,28.0,6.0,24.0,2.0,22.0,19,60.0,27.0,3.0
59,Andrew Robertson,sct SCO,DF,30-057,17.8,34.0,24,21.0,11.0,2.0,19.0,6.0,13.0,13,47.0,40.0,0.0
